"","genotype","treatment","floral","leaf_number","root","leaf"
"1","B73","A",0,8,570.2,2395
"2","B73","B",0,8,503.6,2113.9
"3","B73","A",0,7,507.9,2132.2
"4","B73","B",0,7,519.1,2346.1
"5","B73","A",0,8,502.4,2442.4
"6","B73","B",0,8,520.1,2193.1
"7","B73","A",0,7,557.5,1833.9
"8","B73","B",0,7,579.2,1858
"10","Gaspe","B",0,2,13,21
"11","Gaspe","A",1,2,11,30
"12","Gaspe","B",1,2,19,33
"13","Gaspe","A",1,2,15,37
"14","Gaspe","B",1,2,14,22
"15","Gaspe","A",1,2,10,25
"16","Gaspe","B",1,2,10,30
"17","Gaspe","A",1,2,8,33
"18","Gaspe","B",0,2,11,33
"19","Gaspe","A",1,2,19,37
"20","Gaspe","B",1,2,15,35
"21","Gaspe","A",1,2,13,23
"22","Gaspe","B",1,4,24,56
"23","Gaspe","A",1,3,19,56
"24","Gaspe","B",1,3,18,46
"25","Gaspe","A",1,3,21,54
"26","Gaspe","B",1,3,23,54
"27","Gaspe","A",1,3,16,62
"28","Gaspe","B",1,4,18,57
"29","Gaspe","A",1,3,24,70
"30","Gaspe","B",1,3,15,44
"31","Gaspe","A",1,4,25,69
"32","Gaspe","B",1,3,24,54
"33","Gaspe","A",1,4,51,267
"34","Gaspe","B",1,4,69,197
"35","Gaspe","A",1,5,48,141
"36","Gaspe","B",1,4,62,189
"37","Gaspe","A",1,4,65,207
"38","Gaspe","B",1,5,74,196
"39","Gaspe","A",1,4,62,193
"40","Gaspe","B",1,5,86,230
"41","Gaspe","A",1,4,53,150
"42","Gaspe","B",1,4,69,173
"43","Gaspe","A",1,4,59,161
"44","Gaspe","B",1,4,68,179
"45","Gaspe","A",1,5,100,442
"46","Gaspe","B",1,6,124,488
"47","Gaspe","A",1,5,105,433
"48","Gaspe","B",1,5,94,393
"49","Gaspe","A",1,6,144,535
"50","Gaspe","B",1,6,131,629
"51","Gaspe","A",1,6,91,408
"52","Gaspe","B",1,6,55,608
"53","Gaspe","A",1,5,116,441
"54","Gaspe","B",1,6,144,627
"55","Gaspe","A",1,5,92,437
"56","Gaspe","B",1,6,157,879
"57","Gaspe","A",1,6,95,562
"58","Gaspe","B",1,6,129,639
"59","Gaspe","A",1,6,206,911
"60","IL58","B",0,4,94,180
"61","IL58","A",0,4,87,183
"62","IL58","B",0,4,83,165
"63","IL58","A",0,4,83,188
"64","IL58","B",0,4,94,205
"66","IL58","B",1,7,360,1212
"67","IL58","A",1,7,255,773
"68","IL58","B",1,7,390,1179
"69","IL58","A",1,7,373,1218
"70","IL58","B",1,7,430,969
"71","IL58","A",1,7,282,1024
"72","IL58","B",1,7,347,1181
"73","IL58","A",1,9,832,3485
"74","IL58","B",1,9,859,3816
"75","IL58","A",1,8,487,2025
"76","IL58","B",1,8,474,1834
"77","IL58","A",1,8,344,1426
"78","IL58","B",1,8,511,1815
"79","IL58","A",1,8,380,1694
"80","IL58","B",1,8,362,1652
"81","IL58","A",1,10,1437,3955
"82","IL58","B",1,9,986,3178
"83","IL58","A",1,9,944,3060
"84","IL58","B",1,9,935,3099
"85","IL58","A",1,9,1189,3496
"86","IL58","B",1,11,1022,3796
"87","IL58","A",1,10,1300,4119
"88","IL58","B",1,10,1477,5332
"89","IL58","A",1,10,1891,5295
"90","IL58","B",1,11,772,2948
"91","IL58","A",1,10,1419,4711
"92","IL58","B",1,10,1194,3824
"93","IL58","A",1,10,1625,4629
"94","IL58","B",1,10,1325,4163
"95","IL58","A",1,10,1794,5304
"96","IL58","B",1,10,1522,4706
"97","IL58","A",0,3,40,111
"98","IL58","B",0,3,44,82
"99","IL58","A",0,3,38,74
"100","IL58","B",0,3,44,80
"101","IL58","A",0,3,40,69
"102","IL58","B",0,3,37,69
"103","IL58","A",0,3,44,74
"104","IL58","B",0,3,38,72
"105","IL58","A",0,3,41,83
"106","IL58","B",0,3,39,72
"107","IL58","A",0,3,22,85
"108","IL58","B",0,3,126,92
"109","IL58","A",0,5,121,333
"110","IL58","B",0,5,184,461
"111","IL58","A",0,5,156,405
"112","IL58","B",0,5,184,282
"113","IL58","A",0,5,151,386
"114","IL58","B",0,5,140,374
"115","IL58","A",0,5,149,377
"116","IL58","B",0,5,161,399
"117","IL58","A",0,5,142,343
"118","IL58","B",0,5,167,411
"119","IL58","A",0,5,177,446
"120","IL58","B",0,5,172,408
